service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10116,0,0,0,0,0,1,0,20260214,20260321
10225,0,0,0,0,0,0,0,20260216,20260327
11300,1,1,1,1,1,0,0,20260202,20260213
11312,0,0,0,0,0,1,0,20260131,20260321
12753,0,0,0,0,0,1,0,20260131,20260321
1348,0,0,0,0,0,0,1,20260201,20260208
1441,0,0,0,0,0,1,0,20260131,20260131
14567,0,0,1,0,0,0,0,20260204,20260325
28314,0,0,0,0,0,0,0,20260202,20260327
28723,0,1,0,0,0,0,0,20260202,20260327
30121,1,1,1,1,1,0,0,20260217,20260327
3065,0,0,0,0,0,1,0,20260131,20260207
32615,0,0,0,0,0,0,0,20260126,20260327
33024,0,1,0,0,0,0,0,20260126,20260327
33065,0,0,0,0,0,0,0,20260202,20260326
33961,0,0,0,0,0,0,0,20260202,20260327
36811,0,1,1,0,0,0,0,20260202,20260327
37887,0,0,0,0,0,0,0,20260126,20260326
38783,0,0,0,0,0,0,0,20260126,20260327
41421,0,1,1,1,1,0,0,20260202,20260327
41633,0,1,1,0,0,0,0,20260126,20260327
4301,1,1,0,1,1,0,0,20260126,20260130
43290,1,1,1,1,1,0,0,20260202,20260327
46243,0,1,1,1,1,0,0,20260126,20260327
48112,1,1,1,1,1,0,0,20260126,20260327
4822,1,1,1,1,1,0,0,20260126,20260130
521,0,0,1,0,0,0,0,20260128,20260128
5270,0,0,0,0,0,0,1,20260215,20260322
6479,0,0,0,0,0,0,0,20260212,20260313
6618,0,0,0,0,0,0,1,20260201,20260322
6695,0,0,0,0,0,0,0,20260204,20260325
7216,0,0,0,0,0,0,0,20260128,20260325
8088,0,0,1,0,0,0,0,20260204,20260325
8487,0,0,0,0,0,0,1,20260201,20260322
8609,0,0,1,0,0,0,0,20260128,20260325
9329,0,0,0,0,1,0,0,20260216,20260227
